"Historico - Experimento 1","","","","",""
"Prompt","Prompt detalhado usado","Issues","Overall result","Overall sentiment","Observations"
"Definir a estratégia inicial do experimento: escolher os agentes, a stack, a estrutura do repositório e o nível de simplicidade do sistema.","Atue como um orientador técnico para um experimento acadêmico com uso de agentes de IA no desenvolvimento de software. Considere que o projeto deve ser simples, viável para estudante com pouca experiência prévia e bem documentado para relatório. Me ajude a definir: quais agentes usar, qual stack mínima escolher, como organizar o repositório e como limitar o escopo para um MVP funcional.","O agente abriu possibilidades além do necessário. Eu precisei fechar melhor o escopo e priorizar clareza, pensando em alguém com pouca experiência prévia em programação.","Good","I would use it again, but with tighter prompts and explicit scope limits.","A combinação Copilot + ChatGPT funcionou bem para mim: o Copilot ajudou mais no planejamento e no código, e o ChatGPT serviu como apoio para interpretar, simplificar e revisar."
"Criar o repositório tapl-experimento-1 com README.md, AGENTS.md e a pasta sistema/ com backend/ e frontend/.","Gere uma proposta objetiva para criar o repositório do Experimento 1. Quero um README inicial, um arquivo AGENTS.md com instruções persistentes para o agente e uma estrutura base com pasta sistema/, contendo backend/ e frontend/. Escreva tudo de forma simples, clara e alinhada ao contexto de uma disciplina universitária.","Não houve problema grave, mas eu precisei revisar o texto gerado e ajustar a documentação para o contexto da disciplina.","Excellent","I would definitely use it for the same thing again.","O AGENTS.md foi muito útil como instrução persistente para pedir código simples, funcional e bem explicado."
"Usar o modo Plan do Copilot/Claude para levantar os requisitos do sistema e definir um escopo mínimo viável.","Usando o modo de planejamento, levante os requisitos do sistema como se estivesse iniciando um projeto do zero. Faça perguntas curtas e relevantes, mas mantenha o foco em definir um escopo mínimo viável. O sistema deve ser pequeno, funcional e possível de implementar incrementalmente, sem arquitetura excessiva.","As respostas iniciais vieram complexas demais, mais próximas de um sistema ""profissional"" do que de um experimento viável para a disciplina.","Good","I would use it again, but only after fixing the scope early.","Responder em texto, em vez de só marcar opções na interface, ajudou a manter rastreabilidade para o relatório."
"Tentar desenvolver no Codespaces e sincronizar o AGENTS.md com a estrutura inicial do projeto.","Quero usar Codespaces para começar o desenvolvimento. Considere que já existe um AGENTS.md no repositório. Me diga como sincronizar corretamente o ambiente, validar se o arquivo foi reconhecido e garantir que a estrutura inicial do projeto esteja disponível no Codespace antes de iniciar a implementação.","O AGENTS.md não apareceu no Codespace antigo e depois surgiram problemas de WebView/Service Worker. Acabei perdendo tempo com sincronização e recriação do ambiente.","Bad","I would definitely not use it for the same thing again in this context.","Esse passo foi ruim para a produtividade, mas acabou rendendo material importante para a análise crítica: o ambiente remoto mais atrapalhou do que ajudou."
"Migrar do Codespaces para o VS Code local e revalidar os modos Ask, Plan e Agent disponíveis.","Agora vou abandonar o Codespaces e seguir no VS Code local. Reavalie o fluxo considerando os modos Ask, Plan e Agent do Copilot/Claude. Me diga como organizar o trabalho no ambiente local, escolher o modo mais adequado para cada fase e retomar o desenvolvimento com menos atrito.","Foi preciso reorganizar o fluxo e entender melhor como o Copilot local apresentava os modelos e modos.","Excellent","I would definitely use it for the same thing again.","A migração foi decisiva. No ambiente local, o ciclo de teste ficou muito mais previsível e com menos atrito."
"Criar um backend mínimo em Node + Express + TypeScript com o endpoint GET /api/health.","Implemente um backend mínimo em Node.js + Express + TypeScript para este experimento. Quero apenas a estrutura essencial para começar e um endpoint GET /api/health que responda algo simples para eu validar que o servidor está rodando. Evite complexidade desnecessária e explique como executar localmente.","O agente gerou mais explicação e estrutura do que o necessário, mas o código básico funcionou depois da revisão humana.","Excellent","I would definitely use it for the same thing again.","Foi um bom uso do agente: tarefa pequena, fácil de verificar e com baixo risco."
"Criar um frontend mínimo em React + TypeScript + Vite e colocá-lo para rodar localmente.","Implemente um frontend mínimo em React + TypeScript com Vite, suficiente para validar que a interface está rodando localmente. Não quero design sofisticado; apenas uma base simples e funcional, com instruções claras de instalação e execução.","Não houve problema estrutural grave; bastou conferir dependências e comandos de execução.","Excellent","I would definitely use it for the same thing again.","O agente ajudou bastante a levantar rapidamente a base do frontend."
"Integrar frontend e backend fazendo o frontend chamar GET /api/health e mostrar o status na tela.","Integre o frontend ao backend já criado. Quero que o frontend faça uma chamada para GET /api/health e exiba na tela o status retornado pelo backend. Mantenha a solução simples e fácil de testar localmente.","A integração foi simples, mas exigiu conferência manual de URLs, portas e da execução simultânea dos dois processos.","Good","I would definitely use it for the same thing again.","Esse passo foi importante para validar a arquitetura antes de adicionar funcionalidades maiores."
"Implementar persistência em JSON e os endpoints GET /api/provas e POST /api/provas para listar e criar provas.","Adicione persistência local em JSON no backend e implemente os endpoints GET /api/provas e POST /api/provas. O objetivo é listar provas existentes e criar novas provas de forma simples, sem banco de dados. Use arquivo JSON local e explique como testar a API.","A solução funcionou, mas ficou simplificada em relação ao enunciado completo, que pedia um gerenciamento mais amplo de questões e provas.","Good","I would use it again, but with stronger checks against the original requirements.","Usar JSON local foi uma decisão consciente para manter o MVP viável e compreensível."
"Levar a criação e a listagem de provas para o frontend com um formulário simples e atualização visual da lista.","Leve a criação e a listagem de provas para o frontend. Crie um formulário simples para cadastrar uma prova e atualize a lista exibida na interface depois do envio. Reaproveite a API existente e mantenha a implementação mínima.","Foi preciso testar a API com Thunder Client e depois validar o fluxo completo no navegador.","Excellent","I would definitely use it for the same thing again.","A relação entre esforço e resultado foi boa: o agente acelerou um fluxo que já ficou visível para o usuário."
"Adicionar a funcionalidade de cadastrar questões em uma prova já criada.","Agora adicione a funcionalidade de cadastrar questões dentro de uma prova já criada. Quero uma solução simples, ainda sem refatoração grande, apenas permitindo incluir questões e alternativas associadas à prova existente.","A primeira versão ficou errada: em vez de atualizar a prova, o sistema passou a gerar duplicações e novas versões no JSON.","OK","I would use it again, but only with very close review of the generated code.","Aqui apareceu bem o limite do agente: ele acelera, mas também pode introduzir bugs conceitualmente simples."
